"","Sym","Syn"
"1","Acaca","A530025K05Rik|Ac|Acac|Acc|Acc1|Gm738"
"2","Haao",NA
"3","Pla2g6",NA
"4","Brca1",NA
"5","Rnaset2b",NA
"6","Nsun2","D13Wsu123e|Mi|Misu"
"7","Slc24a5",NA
"8","Cbs",NA
"9","Aurka",NA
"10","Abcb7","AA517758|AU019072|Abc|Abc7"
"11","Acad9","2600017P15Rik|4732402K02|C630012L17Rik|NPD0|NPD002"
"12","Aldh18a1","2810433K04Rik|AI429789|Py|Pycs"
"13","Aldh1b1","2700007F14Rik"
"14","Aldh5a1","6330403E24Rik|Ahd-1|Ahd1|D630032B01Rik|SS|SSADH|Ssdh1"
"15","Auh","C77140|W91705"
"16","Bckdha","-"
"17","Bckdhb","BCKDE1B|BCKDH E1-beta"
"18","Bckdk","AI327402|BCKD-ki"
"19","Chchd4","2410012P20Rik|2810014D17Rik|AI838740"
"20","Clpb","AL118244|Skd|Skd3"
"21","Clpp","AU019820|D17Wsu160|D17Wsu160e"
"22","Coq3","4732433J24|C77934"
"23","Cox15","2900026G05Rik"
"24","Cox6c","-"
"25","Cpox","C|CPX|Cpo|HCP|ca|cac|nc|nct"
"26","Cpt2","AI323697|CP|CPTII"
"27","Dars2","5830468K18Rik|aspRS"
"28","Decr1","1200012F07Rik|Dec|Decr|Na|Nadph"
"29","Dhtkd1","C330018I04Rik"
"30","Dlat","6332404G05Rik|DLTA|PDC-E|PDC-E2"
"31","Ethe1","0610025L15Rik|Hsco"
"32","Fam210a","4933403F05Rik|AA987140|AV134576|AW491926"
"33","Fdx1","ADRE"
"34","Fech","AI894116|Fc|Fcl|fch"
"35","Fxn","FA|FARR|Fr|Frda|X25"
"36","Gcdh","9030411L18|AI266902|D17825|GCD"
"37","Gfm1","AW545374|D3Wsu133|D3Wsu133e|Gfm"
"38","Gfm2","6530419G12Rik|A930009M04Rik|EF-G2mt|EFG2|MST02|MST027|RRF2mt"
"39","Glrx5","-"
"40","Grpel1","AA408748|mt-GrpE|mt-GrpE#1|mt-Grpel1"
"41","Guf1","4631409J12|AA407526|EF-4"
"42","Iars2","2010002H18Rik|C79125"
"43","L2hgdh","BC016226"
"44","Lactb","LACT-1|Lact1|Mrp|Mrpl56"
"45","Letm1","-"
"46","Lonp1","1200017E13Rik|LON|Pr|Prss15"
"47","Mcat","AI225907|BC025519"
"48","Mccc2","4930552N12Rik|MCCB"
"49","Me2","AW120568|D030040L20Rik|NAD-ME"
"50","Mecr","AI195831|NRBF-1|Nrb|Nrbf1"
"51","Micu1","C730016L05Rik|Calc|Cba|Cbara1"
"52","Mipep","5730405E07Rik|MIP"
