X,logFC,P.Value,adj.P.Val,B,SYM,gene_id,UniSYM,UniENTREZ,matchSYM,MitoLocal
P97564|GPAT1_RAT,1.912965775,0.003195441,0.096600652,-1.529554397,Gpam,29653,Gpam,29653,Gpam,Membrane
Q7TQ16|QCR8_RAT,2.539236069,0.005518633,0.098476583,-2.052765316,Uqcrq,497902,Uqcrq,497902,Uqcrq,MIM
O88280|SLIT3_RAT,1.956600825,0.006262113,0.098476583,-2.173718598,Slit3,83467,Slit3,83467,Slit3,Unknown
O35547|ACSL4_RAT,1.729944865,0.006564008,0.098476583,-2.218761847,Acsl4,113976,Acsl4,113976,Acsl4,Associated
Q562B5|PGAM5_RAT,1.976316452,0.007071988,0.098476583,-2.29004987,Pgam5,288731,Pgam5,288731,Pgam5,MOM
tr|B1WC61|B1WC61_RAT,1.768994649,0.009912818,0.098476583,-2.612552147,Acad9,294973,Acad9,294973,Acad9,MIM
Q5M818|RM16_RAT,1.683734894,0.009961714,0.098476583,-2.617244525,Mrpl16,293754,Mrpl16,293754,Mrpl16,Matrix
Q63965|SFXN1_RAT,1.442523956,0.017500476,0.10491997,-3.152694111,NA,NA,Sfxn1,,Sfxn1,MIM
tr|D3Z9L0|D3Z9L0_RAT,2.321972529,0.021276116,0.10491997,-3.337173372,Agk,502749,Agk,502749,Agk,MIM
P32198|CPT1A_RAT,1.354694366,0.023812094,0.107465754,-3.443157913,Cpt1a,25757,Cpt1a,25757,Cpt1a,MOM
Q06647|ATPO_RAT,2.037049611,0.024058162,0.107465754,-3.452819789,Atp5o,192241,Atp5po,192241,Atp5po,MIM
Q09073|ADT2_RAT,1.911705017,0.024605312,0.107465754,-3.473945574,Slc25a5,25176,Slc25a5,25176,Slc25a5,MIM
Q68FX9|SIR5_RAT,1.57168897,0.024747221,0.107465754,-3.479346119,Sirt5,306840,Sirt5,306840,Sirt5,Matrix
P29147|BDH_RAT,1.43291537,0.025495017,0.107465754,-3.507290023,Bdh1,117099,Bdh1,117099,Bdh1,MIM
Q641Y2|NDUS2_RAT,1.554611842,0.026993661,0.107465754,-3.560844715,Ndufs2,289218,Ndufs2,289218,Ndufs2,MIM
O35796|C1QBP_RAT,1.432640711,0.027246834,0.107465754,-3.569589638,C1qbp,29681,C1qbp,29681,C1qbp,Matrix
tr|F1LX07|F1LX07_RAT,1.618249893,0.027418084,0.107465754,-3.575457612,NA,NA,Slc25a12,,Slc25a12,MIM
tr|D3ZD23|D3ZD23_RAT,1.374645233,0.029122624,0.107547142,-3.631891146,Abce1,361390,Abce1,361390,Abce1,Associated
P13086|SUCA_RAT,2.569238027,0.030403106,0.109117996,-3.672092931,Suclg1,114597,Suclg1,114597,Suclg1,Matrix
tr|B2RZD6|B2RZD6_RAT,1.181182226,0.037392187,0.112278459,-3.864650747,Ndufa4,681024,Ndufa4,681024,Ndufa4,MIM
Q8CFD0|SFXN5_RAT,1.354089737,0.041871104,0.114258612,-3.969346198,Sfxn5,261737,Sfxn5,261737,Sfxn5,MIM
O08679|MARK2_RAT,1.326616923,0.042063905,0.114258612,-3.973588025,Mark2,60328,Mark2,60328,Mark2,Unknown
