P1_A	P1_B	P2_A	P2_B	P3_A	P3_B	""
#!{Type}E	E	E	E	E	E	T
#!{C:Treatment}A	B	A	B	A	B	
#!{C:Expt}P1	P1	P2	P2	P3	P3	
25.7103023529053	20.2114372253418	20.7252616882324	18.749755859375	25.3544750213623	18.7273349761963	Q4AE70|CARM1_RAT
25.7795658111572	22.2989387512207	24.1642284393311	18.864107131958	26.461389541626	21.8575687408447	tr|A0A0G2JVC2|A0A0G2JVC2_RAT
25.2169704437256	20.0969829559326	20.1042079925537	18.4756488800049	25.1134662628174	21.7835674285889	O88902|PTN23_RAT
24.1718826293945	21.0156326293945	24.9134216308594	23.4169960021973	26.6864566802979	26.1565341949463	Q6P7R8|DHB12_RAT
22.9985179901123	19.6328964233398	20.1003532409668	18.2036876678467	23.1596183776855	18.7602005004883	tr|D3ZU13|D3ZU13_RAT
25.581184387207	22.4701061248779	21.1580772399902	21.6928539276123	26.7389240264893	26.505973815918	P62914|RL11_RAT
23.7285823822021	20.2302265167236	19.6402168273926	19.0934219360352	19.495096206665	18.816219329834	tr|M0R5V6|M0R5V6_RAT
23.2302265167236	19.1002101898193	21.4014549255371	18.5745429992676	24.0690727233887	19.6470222473145	Q10728|MYPT1_RAT
23.5165309906006	20.5638370513916	24.1332015991211	21.0886116027832	26.5594673156738	25.9868507385254	P19511|AT5F1_RAT
25.6292304992676	23.3778247833252	19.8039073944092	18.7551612854004	19.678674697876	19.231595993042	tr|A0A0G2JXD0|A0A0G2JXD0_RAT
24.1565341949463	21.0426006317139	20.5546016693115	18.4238090515137	24.1642284393311	23.4800052642822	Q562B5|PGAM5_RAT
25.187068939209	23.0375823974609	24.498384475708	23.0442695617676	25.9338207244873	23.6971035003662	tr|D3ZW15|D3ZW15_RAT
25.3877182006836	22.9864177703857	19.4020938873291	18.6102485656738	25.8239593505859	25.3409595489502	P62282|RS11_RAT
25.2426357269287	22.82493019104	20.1529750823975	18.7292499542236	22.6073837280273	22.1703548431396	Q9JJ54|HNRPD_RAT
23.2448139190674	20.8423004150391	20.6300716400146	18.2451877593994	20.0193405151367	18.457878112793	tr|D4A1P2|D4A1P2_RAT
22.3936214447021	20.5451679229736	24.6649227142334	23.3238868713379	25.2243499755859	24.7389240264893	tr|G3V824|G3V824_RAT
22.5308856964111	20.7545909881592	22.5474548339844	21.3804702758789	24.7440662384033	22.4873847961426	tr|F1M2K6|F1M2K6_RAT
22.1672954559326	19.7806606292725	24.3511066436768	23.2477149963379	24.3975429534912	23.9405574798584	Q9QYP2|CELR2_RAT
22.2360801696777	20.5780410766602	20.4603004455566	18.3290195465088	27.1603870391846	26.7644577026367	O35116|CTND2_RAT
25.6458148956299	24.01051902771	25.2020969390869	18.2959480285645	25.7593879699707	24.1014938354492	Q811U3|RB6I2_RAT
19.0558967590332	20.1075611114502	20.8034114837646	19.6696872711182	21.1142616271973	19.098726272583	tr|D3ZCT7|D3ZCT7_RAT
26.1174354553223	24.461389541626	24.6485595703125	22.8171424865723	25.5225296020508	24.7745475769043	Q62638|GSLG1_RAT
24.4800052642822	22.7512359619141	20.5295143127441	17.231517791748	20.1813621520996	19.3381366729736	tr|A0A0G2KB28|A0A0G2KB28_RAT
30.4334049224854	29.3260307312012	30.9469833374023	29.8973522186279	31.1300144195557	30.5754241943359	P24942|EAA1_RAT
25.9539356231689	24.4551296234131	25.1174354553223	22.8839015960693	26.3169994354248	26.3711910247803	P62703|RS4X_RAT
18.5694103240967	21.3156185150146	24.6039943695068	23.1126708984375	23.8384590148926	23.3645286560059	tr|F1LNL3|F1LNL3_RAT
24.7285823822021	23.0821285247803	19.6136283874512	19.0249252319336	24.8717346191406	23.5521545410156	Q6URK4|ROA3_RAT
22.9548244476318	20.8876247406006	19.7506732940674	18.8464031219482	24.6971035003662	23.1014938354492	Q5FVM4|NONO_RAT
24.0274925231934	22.4450588226318	19.893856048584	17.8543663024902	22.7327270507813	21.287712097168	P29314|RS9_RAT
23.3375606536865	21.5020313262939	23.6540336608887	20.9097633361816	23.8093128204346	23.0821285247803	tr|B1WC61|B1WC61_RAT
23.8288097381592	22.3238868713379	19.9546737670898	18.0558052062988	24.1718826293945	22.3375606536865	Q9Z1C7|RPGF4_RAT
24.4800052642822	23.0392570495605	21.1456928253174	18.3494892120361	24.448844909668	23.3511066436768	Q810W7|MAST1_RAT
25.7695121765137	24.4676208496094	23.5754241943359	23.9225234985352	25.6997528076172	25.289119720459	tr|E9PTR4|E9PTR4_RAT
25.5983257293701	24.1946029663086	20.3904113769531	20.3019828796387	24.6971035003662	24.2243499755859	tr|D4A567|D4A567_RAT
23.5285034179688	21.8461322784424	19.9353923797607	18.0360126495361	23.9583683013916	21.5165309906006	tr|A0A0G2JYE0|A0A0G2JYE0_RAT
24.5696430206299	23.2020969390869	21.2649917602539	22.0690727233887	25.0567245483398	25.0974807739258	tr|D4A5I4|D4A5I4_RAT
21.8575687408447	19.5619735717773	19.9439258575439	18.253267288208	24.632007598877	23.8670291900635	P62278|RS13_RAT
23.7695121765137	22.0982837677002	19.7162189483643	18.8381023406982	24.5521545410156	23.3645286560059	Q6IRE4|TS101_RAT
25.448844909668	24.1718826293945	24.2820663452148	24.2169704437256	25.1983547210693	24.2316913604736	tr|A0A0G2K8K0|A0A0G2K8K0_RAT
24.5983257293701	23.1961040496826	23.310079574585	22.2792339324951	24.7542991638184	23.4040565490723	Q9JIR4|RIMS1_RAT
26.187068939209	25.0484313964844	24.7285823822021	22.7735424041748	25.9360694885254	25.2642765045166	tr|D4A2Q3|D4A2Q3_RAT
24.4298191070557	23.1840438842773	21.4626388549805	19.3122978210449	25.4137706756592	23.5285034179688	tr|D3ZD73|D3ZD73_RAT
23.6430625915527	21.988151550293	20.9480152130127	19.5173740386963	19.9359378814697	18.7492485046387	P84586|RMXRL_RAT
25.632007598877	24.448844909668	23.6864566802979	20.6714172363281	26.4234218597412	25.9065570831299	Q68FX9|SIR5_RAT
24.4169960021973	23.1237621307373	23.6430625915527	18.4281787872314	20.5968284606934	19.3768672943115	tr|M0R5K9|M0R5K9_RAT
25.9293117523193	24.7285823822021	23.3778247833252	21.2763977050781	25.1526718139648	24.052583694458	tr|Q5U2P5|Q5U2P5_RAT
25.6997528076172	24.4922828674316	26.8019332885742	24.8764266967773	28.2847156524658	28.1410217285156	P35435|ATPG_RAT
23.8190937042236	22.6005954742432	20.0295963287354	18.8666515350342	24.5869197845459	22.4800052642822	tr|A0A0G2K9J0|A0A0G2K9J0_RAT
24.6757297515869	23.4298191070557	24.1487998962402	18.50559425354	26.2002277374268	25.0934562683105	P62250|RS16_RAT
26.6730346679688	25.6264495849609	26.5150279998779	26.1114768981934	27.5536212921143	26.3152732849121	tr|A0A0G2JZ52|A0A0G2JZ52_RAT
23.0902290344238	20.9950714111328	20.0459766387939	17.7683601379395	23.1718826293945	21.0756149291992	Q06486|KC1D_RAT
25.6971035003662	24.5285034179688	23.6430625915527	21.582332611084	27.0505104064941	26.7389240264893	P32089|TXTP_RAT
24.4040565490723	23.1961040496826	24.6811027526855	20.9170684814453	28.1213932037354	22.9351711273193	tr|A0A0G2JVZ6|A0A0G2JVZ6_RAT
19.7471446990967	17.666223526001	21.2971115112305	18.912784576416	22.4221382141113	20.7471446990967	P19139|CSK21_RAT
24.9759635925293	23.7695121765137	21.3572292327881	18.7098121643066	25.8764266967773	23.2419090270996	Q63560|MAP6_RAT
25.8787670135498	24.7945156097412	26.6180686950684	22.0019588470459	28.3367099761963	27.9259223937988	Q06647|ATPO_RAT
26.3728523254395	25.3169994354248	24.6757297515869	22.0291786193848	26.4660663604736	25.1371173858643	P62804|H4_RAT
24.6039943695068	23.4425296783447	23.126916885376	21.3910007476807	24.3307399749756	23.1976051330566	D4ABX8|LRFN4_RAT
26.0126533508301	24.9583683013916	25.4800052642822	25.1603870391846	25.6236610412598	25.6347808837891	Q9Z0U4|GABR1_RAT
26.4202117919922	25.2820663452148	20.686803817749	19.4044952392578	20.2451496124268	20.2786731719971	P84245|H33_RAT
23.1946029663086	21.1885795593262	21.2401332855225	22.4725875854492	26.3409595489502	25.7103023529053	P62083|RS7_RAT
25.8834362030029	24.7945156097412	26.0062446594238	23.5403785705566	27.7324676513672	27.3661975860596	P97700|M2OM_RAT
23.904260635376	22.5261173248291	21.1885795593262	19.316722869873	24.2020969390869	24.310079574585	P62755|RS6_RAT
24.5983257293701	23.4676208496094	26.550687789917	25.5783081054688	26.1889572143555	25.0649681091309	A2VD12|PBIP1_RAT
24.0690727233887	22.6928539276123	21.2760734558105	18.8244342803955	19.8806648254395	19.4106006622314	O35796|C1QBP_RAT
24.3711910247803	23.0739822387695	19.5674362182617	19.6490077972412	24.9627876281738	23.4922828674316	tr|Q99PS2|Q99PS2_RAT
