"","X.1","X","logFC","AveExpr","t","P.Value","adj.P.Val","B","Acc","SYM","gene_id","UniSYM","UniENTREZ","matchSYM"
"26","P97564|GPAT1_RAT","P97564|GPAT1_RAT",1.91296577453616,20.5472110112508,3.87176062153049,0.00319544140569297,0.0966006517259492,-1.52955439673444,"P97564","Gpam",29653,"Gpam","29653","Gpam"
"44","Q7TQ16|QCR8_RAT","Q7TQ16|QCR8_RAT",2.53923606872563,23.0970589319865,3.53714247546753,0.00551863293817817,0.0984765826393893,-2.0527653162598,"Q7TQ16","Uqcrq",497902,"Uqcrq","497902","Uqcrq"
"49","O88280|SLIT3_RAT","O88280|SLIT3_RAT",1.95660082499183,20.662522315979,3.46080562168797,0.00626211272428413,0.0984765826393893,-2.17371859846245,"O88280","Slit3",83467,"Slit3","83467","Slit3"
"50","O35547|ACSL4_RAT","O35547|ACSL4_RAT",1.72994486490883,20.7685565948487,3.43245766713315,0.00656400818288846,0.0984765826393893,-2.21876184734696,"O35547","Acsl4",113976,"Acsl4","113976","Acsl4"
"53","Q562B5|PGAM5_RAT","Q562B5|PGAM5_RAT",1.97631645202636,21.9702965418498,3.38767424435664,0.00707198848031829,0.0984765826393893,-2.29004987045478,"Q562B5","Pgam5",288731,"Pgam5","288731","Pgam5"
"77","tr|B1WC61|B1WC61_RAT","tr|B1WC61|B1WC61_RAT",1.76899464925134,22.7158050537109,3.18611683607589,0.00991281814757198,0.0984765826393893,-2.61255214720461,"B1WC61","Acad9",294973,"Acad9","294973","Acad9"
"78","Q5M818|RM16_RAT","Q5M818|RM16_RAT",1.68373489379884,21.0383834838867,3.18319435477092,0.00996171380143553,0.0984765826393893,-2.61724452536475,"Q5M818","Mrpl16",293754,"Mrpl16","293754","Mrpl16"
"127","Q63965|SFXN1_RAT","Q63965|SFXN1_RAT",1.4425239562988,21.0267416636149,2.85053548953458,0.0175004762009371,0.104919969597614,-3.15269411069059,"Q63965",NA,NA,"Sfxn1","","Sfxn1"
"156","tr|D3Z9L0|D3Z9L0_RAT","tr|D3Z9L0|D3Z9L0_RAT",2.32197252909339,22.2444111506144,2.73582545959969,0.0212761161905711,0.104919969597614,-3.33717337176701,"D3Z9L0","Agk",502749,"Agk","502749","Agk"
"170","P32198|CPT1A_RAT","P32198|CPT1A_RAT",1.35469436645506,22.5016873677572,2.66975829658393,0.0238120935446204,0.10746575387496,-3.44315791348073,"P32198","Cpt1a",25757,"Cpt1a","25757","Cpt1a"
"172","Q06647|ATPO_RAT","Q06647|ATPO_RAT",2.03704961140953,25.9259904225667,2.66372725735204,0.0240581620317759,0.10746575387496,-3.45281978943448,"Q06647","Atp5o",192241,"Atp5po","192241","Atp5po"
"174","Q09073|ADT2_RAT","Q09073|ADT2_RAT",1.91170501708983,27.7532844543457,2.65053498311745,0.0246053123245058,0.10746575387496,-3.47394557361133,"Q09073","Slc25a5",25176,"Slc25a5","25176","Slc25a5"
"176","Q68FX9|SIR5_RAT","Q68FX9|SIR5_RAT",1.57168896993003,24.4614508946737,2.64716132698514,0.0247472208806018,0.10746575387496,-3.47934611923618,"Q68FX9","Sirt5",306840,"Sirt5","306840","Sirt5"
