"","X.1","X","logFC","AveExpr","t","P.Value","adj.P.Val","B","Acc","SYM","gene_id","UniSYM","UniENTREZ","matchSYM"
"1","tr|A0A0G2JVC2|A0A0G2JVC2_RAT","tr|A0A0G2JVC2|A0A0G2JVC2_RAT",4.4615230560303,23.2376330693563,8.19723462987023,1.05229330641349e-05,0.00827102538841,3.70336188126044,"A0A0G2JVC2","Scyl2",314717,"Scyl2","314717","Scyl2"
"2","Q10728|MYPT1_RAT","Q10728|MYPT1_RAT",3.79299290974933,21.0037549336751,7.06785104865213,3.72421847160579e-05,0.0146361785934107,2.6122840345383,"Q10728","Ppp1r12a",116670,"Ppp1r12a","116670","Ppp1r12a"
"3","Q4AE70|CARM1_RAT","Q4AE70|CARM1_RAT",4.70050366719564,21.5797611872355,5.88465398004636,0.000164446427795298,0.043084964082368,1.27099081338483,"Q4AE70","Carm1",363026,"Carm1","363026","Carm1"
"4","tr|D3ZU13|D3ZU13_RAT","tr|D3ZU13|D3ZU13_RAT",3.22056833902993,20.4758790334066,5.47278405147303,0.000288004852101896,0.0565929534380226,0.751686743297304,"D3ZU13","Eif4g1",287986,"Eif4g1","287986","Eif4g1"
"5","O88902|PTN23_RAT","O88902|PTN23_RAT",3.35948181152342,21.7984739939372,5.03235467494936,0.000538437909370695,0.0846424393530732,0.165193760161124,"O88902",NA,NA,"Ptpn23","","Ptpn23"
"6","D4A6D8|LRRT1_RAT","D4A6D8|LRRT1_RAT",2.31736628214524,20.8345788319905,4.7305827546309,0.000840039745423677,0.0957173354482469,-0.255232207697682,"D4A6D8","LRRTM1",679668,"Lrrtm1","679668","Lrrtm1"
"7","tr|A0A0G2JVZ6|A0A0G2JVZ6_RAT","tr|A0A0G2JVZ6|A0A0G2JVZ6_RAT",3.38606961568201,24.0424826939901,4.72078592784699,0.000852444463279553,0.0957173354482469,-0.269130751982676,"A0A0G2JVZ6",NA,NA,"Itgav","","Itgav"
"8","Q06486|KC1D_RAT","Q06486|KC1D_RAT",2.15634727478023,21.0245224634806,4.40279880696989,0.0013820763158467,0.0966006517259492,-0.728567035009086,"Q06486","Csnk1d",64462,"Csnk1d","64462","Csnk1d"
"9","tr|D4A732|D4A732_RAT","tr|D4A732|D4A732_RAT",2.17603619893394,20.2360893885295,4.32772221627208,0.00155233625027874,0.0966006517259492,-0.839338697213093,"D4A732","Mvb12b",362118,"Mvb12b","362118","Mvb12b"
"10","tr|D4A1P2|D4A1P2_RAT","tr|D4A1P2|D4A1P2_RAT",2.1162865956624,20.2399320602417,4.19273758183139,0.00191668654593299,0.0966006517259492,-1.04062227107682,"D4A1P2","Rpl10l",299106,"Rpl10l","299106","Rpl10l"
"11","P61206|ARF3_RAT","P61206|ARF3_RAT",2.10098838806154,20.4300146102905,4.16398543343832,0.00200536922137337,0.0966006517259492,-1.08384012076114,"P61206","Arf3",140940,"Arf3","140940","Arf3"
"12","P19139|CSK21_RAT","P19139|CSK21_RAT",2.0467472076416,20.1320912043254,4.11239666421328,0.00217550758347741,0.0966006517259492,-1.16167946033519,"P19139","Csnk2a1",116549,"Csnk2a1","116549","Csnk2a1"
"13","tr|A0A0G2JYI7|A0A0G2JYI7_RAT","tr|A0A0G2JYI7|A0A0G2JYI7_RAT",2.10044860839843,20.6936804453532,4.10867735474091,0.00218834768066639,0.0966006517259492,-1.16730581960785,"A0A0G2JYI7","Ubap2",313169,"Ubap2","313169","Ubap2"
"14","tr|B2GV74|B2GV74_RAT","tr|B2GV74|B2GV74_RAT",2.19092241923013,20.0086005528768,4.07004792004236,0.00232652506098686,0.0966006517259492,-1.22585616151036,"B2GV74","Klc2",309159,"Klc2","309159","Klc2"
"15","Q6P0K8|PLAK_RAT","Q6P0K8|PLAK_RAT",2.06314277648924,20.1173664728801,4.04953031544848,0.00240362285686577,0.0966006517259492,-1.25703832325956,"Q6P0K8","Jup",81679,"Jup","81679","Jup"
"16","Q63560|MAP6_RAT","Q63560|MAP6_RAT",2.16279538472494,22.9884754816691,4.04699496757359,0.00241333473374146,0.0966006517259492,-1.26089548353208,"Q63560","Map6",29457,"Map6","29457","Map6"
"17","tr|A0A0G2JYE0|A0A0G2JYE0_RAT","tr|A0A0G2JYE0|A0A0G2JYE0_RAT",2.00786272684734,21.4701566696167,4.0198028765705,0.00252012988783932,0.0966006517259492,-1.30231916775319,"A0A0G2JYE0",NA,NA,"Atxn2l","","Atxn2l"
"19","Q8K3M6|ERC2_RAT","Q8K3M6|ERC2_RAT",2.16564051310216,22.5354340871175,3.94315657813155,0.00284874632373332,0.0966006517259492,-1.41961158735931,"Q8K3M6","Erc2",259269,"Erc2","259269","Erc2"
"20","Q05546|TENR_RAT","Q05546|TENR_RAT",2.02772585550944,20.1605621973674,3.93282084600616,0.00289638967648731,0.0966006517259492,-1.4354873470388,"Q05546","Tnr",25567,"Tnr","25567","Tnr"
