Protein,Symbol,UniProtID,Log(AveExpr),P.Value,adj.P.Val,logFC,Peptide#,MitoLocation,TopMitoPath,SecondMitoPath
GPAT1_RAT,Gpam,P97564,20.5472,0.0032,0.0966,1.9130,,Membrane,Metabolism , Lipid metabolism
QCR8_RAT,Uqcrq,Q7TQ16,23.0971,0.0055,0.0985,2.5392,,MIM,OXPHOS , OXPHOS subunits
SLIT3_RAT,Slit3,O88280,20.6625,0.0063,0.0985,1.9566,,Unknown,NA,NA
ACSL4_RAT,Acsl4,O35547,20.7686,0.0066,0.0985,1.7299,,Associated,NA,NA
PGAM5_RAT,Pgam5,Q562B5,21.9703,0.0071,0.0985,1.9763,,MOM,Mitochondrial dynamics and surveillance , Mitophagy
B1WC61_RAT,Acad9,B1WC61,22.7158,0.0099,0.0985,1.7690,,MIM,OXPHOS , OXPHOS assembly factors
RM16_RAT,Mrpl16,Q5M818,21.0384,0.0100,0.0985,1.6837,,Matrix,Mitochondrial central dogma , Translation
SFXN1_RAT,Sfxn1,Q63965,21.0267,0.0175,0.1049,1.4425,,MIM,Metabolism , Amino acid metabolism
D3Z9L0_RAT,Agk,D3Z9L0,22.2444,0.0213,0.1049,2.3220,,MIM,"Protein import, sorting and homeostasis ", Protein import and sorting
CPT1A_RAT,Cpt1a,P32198,22.5017,0.0238,0.1075,1.3547,,MOM,Metabolism , Lipid metabolism
ATPO_RAT,Atp5po,Q06647,25.9260,0.0241,0.1075,2.0370,,MIM,OXPHOS , OXPHOS subunits
ADT2_RAT,Slc25a5,Q09073,27.7533,0.0246,0.1075,1.9117,,MIM,Metabolism , Nucleotide metabolism
SIR5_RAT,Sirt5,Q68FX9,24.4615,0.0247,0.1075,1.5717,,Matrix,Metabolism , Metals and cofactors
BDH_RAT,Bdh1,P29147,24.6573,0.0255,0.1075,1.4329,,MIM,Metabolism , Carbohydrate metabolism
NDUS2_RAT,Ndufs2,Q641Y2,20.5637,0.0270,0.1075,1.5546,,MIM,OXPHOS , OXPHOS subunits
C1QBP_RAT,C1qbp,O35796,21.0256,0.0272,0.1075,1.4326,,Matrix,Signaling , Immune response
F1LX07_RAT,Slc25a12,F1LX07,25.3609,0.0274,0.1075,1.6182,,MIM,Metabolism , Carbohydrate metabolism
D3ZD23_RAT,Abce1,D3ZD23,22.3664,0.0291,0.1075,1.3746,,Associated,NA,NA
SUCA_RAT,Suclg1,P13086,24.0475,0.0304,0.1091,2.5692,,Matrix,Metabolism , Carbohydrate metabolism
B2RZD6_RAT,Ndufa4,B2RZD6,20.4955,0.0374,0.1123,1.1812,,MIM,OXPHOS , OXPHOS subunits
SFXN5_RAT,Sfxn5,Q8CFD0,22.3277,0.0419,0.1143,1.3541,,MIM,Metabolism , Carbohydrate metabolism
