Protein Group,Protein ID,Accession,Significance,Coverage (%),#Peptides,#Unique,PTM,Sample 2 Area,Sample 4 Area,Sample Profile (Ratio),A HCD Area,B HCD Area,Group Profile (Ratio),Avg. Mass,Description
94,11689,tr|B5DEG8|B5DEG8_RAT,8.78,28,22,22,Carbamidomethylation,8.83E7,0,2.00:0,8.83E7,0,2.00:0,118524,LOC685144 protein OS=Rattus norvegicus GN=Sec24c PE=1 SV=1
132,125,tr|A0A0G2JVC2|A0A0G2JVC2_RAT,8.39,25,17,17,Carbamidomethylation,9.24E7,3.8E6,1.92:0.08,9.24E7,3.8E6,1.92:0.08,103769,Protein Scyl2 OS=Rattus norvegicus GN=Scyl2 PE=1 SV=1
31,303,tr|Q6AYR1|Q6AYR1_RAT,8.29,35,8,7,,4.81E7,0,2.00:0,4.81E7,0,2.00:0,43096,Protein Tfg OS=Rattus norvegicus GN=Tfg PE=1 SV=1
49,1554,Q4AE70|CARM1_RAT,8.07,13,8,7,Carbamidomethylation,4.29E7,4.34E5,1.98:0.02,4.29E7,4.34E5,1.98:0.02,70341,Histone-arginine methyltransferase CARM1 OS=Rattus norvegicus GN=Carm1 PE=1 SV=1
246,3529,tr|D4A8X8|D4A8X8_RAT,7.42,15,6,6,,1.25E7,0,2.00:0,1.25E7,0,2.00:0,70076,CTTNBP2 N-terminal like (Predicted)  isoform CRA_a OS=Rattus norvegicus GN=Cttnbp2nl PE=1 SV=1
193,21023,Q4KLH5|AGFG1_RAT,7.28,9,3,3,,1.87E7,0,2.00:0,1.87E7,0,2.00:0,58170,Arf-GAP domain and FG repeat-containing protein 1 OS=Rattus norvegicus GN=Agfg1 PE=1 SV=1
289,5514,tr|A0A0G2KBB9|A0A0G2KBB9_RAT,7.07,1,3,3,Carbamidomethylation,7.53E6,0,2.00:0,7.53E6,0,2.00:0,433524,Protein Ank2 OS=Rattus norvegicus GN=Ank2 PE=1 SV=1
373,2495,tr|D4AE06|D4AE06_RAT,7.02,14,10,10,Carbamidomethylation,1E7,0,2.00:0,1E7,0,2.00:0,131169,Protein Fkbp15 OS=Rattus norvegicus GN=Fkbp15 PE=1 SV=3
154,20933,tr|Q6AY21|Q6AY21_RAT,7.00,14,5,5,Carbamidomethylation,3.22E7,2.72E6,1.84:0.16,3.22E7,2.72E6,1.84:0.16,50770,GTPase activating protein (SH3 domain) binding protein 2 OS=Rattus norvegicus GN=G3bp2 PE=1 SV=1
837,226,Q9Z2Q1|SC31A_RAT,6.94,5,5,5,,5.15E6,0,2.00:0,5.15E6,0,2.00:0,135272,Protein transport protein Sec31A OS=Rattus norvegicus GN=Sec31a PE=1 SV=2
330,4699,Q10728|MYPT1_RAT,6.81,10,7,7,,1.76E7,8.21E5,1.91:0.09,1.76E7,8.21E5,1.91:0.09,115283,Protein phosphatase 1 regulatory subunit 12A OS=Rattus norvegicus GN=Ppp1r12a PE=1 SV=2
85,1059,O88902|PTN23_RAT,6.80,23,23,23,Carbamidomethylation,3.63E7,3.61E6,1.82:0.18,3.63E7,3.61E6,1.82:0.18,163453,Tyrosine-protein phosphatase non-receptor type 23 (Fragment) OS=Rattus norvegicus GN=Ptpn23 PE=1 SV=2
473,5158,Q9WV48|SHAN1_RAT,6.78,3,4,3,,1.5E7,1.99E6,1.77:0.23,1.5E7,1.99E6,1.77:0.23,226333,SH3 and multiple ankyrin repeat domains protein 1 OS=Rattus norvegicus GN=Shank1 PE=1 SV=1
890,21146,Q68A21|PURB_RAT,6.63,10,3,3,,3.72E6,0,2.00:0,3.72E6,0,2.00:0,33418,Transcriptional activator protein Pur-beta OS=Rattus norvegicus GN=Purb PE=1 SV=3
562,21075,Q9QX74|SHAN2_RAT,6.63,4,4,3,,2.95E6,0,2.00:0,2.95E6,0,2.00:0,158683,SH3 and multiple ankyrin repeat domains protein 2 OS=Rattus norvegicus GN=Shank2 PE=1 SV=2
247,219,O08678|MARK1_RAT,6.59,19,13,4,Carbamidomethylation,7.61E6,4.14E5,1.90:0.10,7.61E6,4.14E5,1.90:0.10,88235,Serine/threonine-protein kinase MARK1 OS=Rattus norvegicus GN=Mark1 PE=1 SV=1
550,2862,tr|D4A9D6|D4A9D6_RAT,6.51,3,3,3,,3.15E6,0,2.00:0,3.15E6,0,2.00:0,131731,DEAH (Asp-Glu-Ala-His) box polypeptide 9 (Predicted) OS=Rattus norvegicus GN=Dhx9 PE=1 SV=1
1021,21180,tr|A0A0G2K618|A0A0G2K618_RAT,6.51,6,4,4,,1.06E7,1.21E6,1.79:0.21,1.06E7,1.21E6,1.79:0.21,87980,Uncharacterized protein OS=Rattus norvegicus GN=Large1 PE=4 SV=1
819,21138,tr|F1M049|F1M049_RAT,6.34,5,4,3,Carbamidomethylation,4.98E6,2.05E5,1.92:0.08,4.98E6,2.05E5,1.92:0.08,117303,Protein Atxn2 OS=Rattus norvegicus GN=Atxn2 PE=1 SV=3
476,673,tr|A0A0G2JZB7|A0A0G2JZB7_RAT,6.31,3,5,4,Carbamidomethylation,3.94E6,1.05E5,1.95:0.05,3.94E6,1.05E5,1.95:0.05,241535,Protein Nav3 OS=Rattus norvegicus GN=Nav3 PE=4 SV=1
290,1816,P16086|SPTN1_RAT,6.26,4,8,8,,6.02E6,5.13E5,1.84:0.16,6.02E6,5.13E5,1.84:0.16,284636,Spectrin alpha chain  non-erythrocytic 1 OS=Rattus norvegicus GN=Sptan1 PE=1 SV=2
421,5373,tr|D3ZU13|D3ZU13_RAT,6.13,8,7,6,Carbamidomethylation,9.37E6,4.44E5,1.91:0.09,9.37E6,4.44E5,1.91:0.09,175704,Protein Eif4g1 OS=Rattus norvegicus GN=Eif4g1 PE=1 SV=1
719,14167,Q9JIS1|RIMS2_RAT,6.08,3,3,3,,4.54E6,3.78E5,1.85:0.15,4.54E6,3.78E5,1.85:0.15,175912,Regulating synaptic membrane exocytosis protein 2 OS=Rattus norvegicus GN=Rims2 PE=1 SV=1
105,58,tr|B5DFC3|B5DFC3_RAT,5.95,31,16,14,Carbamidomethylation,1E8,1.62E7,1.72:0.28,1E8,1.62E7,1.72:0.28,86162,Protein Sec23a OS=Rattus norvegicus GN=Sec23a PE=1 SV=1
41,367,tr|D3Z9D0|D3Z9D0_RAT,5.95,24,33,32,Carbamidomethylation,3.67E8,4.79E7,1.77:0.23,3.67E8,4.79E7,1.77:0.23,201944,Protein RGD1306271 OS=Rattus norvegicus GN=RGD1306271 PE=1 SV=3
203,193,tr|A0A0G2JZX5|A0A0G2JZX5_RAT,5.89,17,11,8,Carbamidomethylation,1.99E7,3.38E6,1.71:0.29,1.99E7,3.38E6,1.71:0.29,105189,Protein Iqsec2 OS=Rattus norvegicus GN=Iqsec2 PE=1 SV=1
329,248,Q9JKA7|HCN4_RAT,5.89,6,6,3,,4.92E6,5.77E5,1.79:0.21,4.92E6,5.77E5,1.79:0.21,128761,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4 OS=Rattus norvegicus GN=Hcn4 PE=1 SV=1
333,20943,tr|D3ZXQ2|D3ZXQ2_RAT,5.87,12,10,10,,2.79E7,4.15E6,1.74:0.26,2.79E7,4.15E6,1.74:0.26,136738,Protein Camsap3 OS=Rattus norvegicus GN=Camsap3 PE=1 SV=2
1049,21119,tr|M0R5T4|M0R5T4_RAT,5.86,14,3,3,Carbamidomethylation,8.34E6,1.06E6,1.77:0.23,8.34E6,1.06E6,1.77:0.23,21522,Protein Rac3 OS=Rattus norvegicus GN=Rac3 PE=4 SV=2
452,497,P04256|ROA1_RAT,5.78,25,7,6,,7.48E7,1.34E7,1.70:0.30,7.48E7,1.34E7,1.70:0.30,34212,Heterogeneous nuclear ribonucleoprotein A1 OS=Rattus norvegicus GN=Hnrnpa1 PE=1 SV=3
493,12824,O55012|PICAL_RAT,5.73,16,7,6,,4.07E7,7.67E6,1.68:0.32,4.07E7,7.67E6,1.68:0.32,69286,Phosphatidylinositol-binding clathrin assembly protein OS=Rattus norvegicus GN=Picalm PE=1 SV=1
450,21030,tr|D4AD89|D4AD89_RAT,5.71,4,3,3,,2.16E7,3.78E6,1.70:0.30,2.16E7,3.78E6,1.70:0.30,104846,Protein Sez6l OS=Rattus norvegicus GN=Sez6l PE=4 SV=3
54,59,Q8K3M6|ERC2_RAT,5.70,19,19,10,Carbamidomethylation,2.57E7,3.98E6,1.73:0.27,2.57E7,3.98E6,1.73:0.27,110618,ERC protein 2 OS=Rattus norvegicus GN=Erc2 PE=1 SV=1
434,12876,tr|D3ZWQ0|D3ZWQ0_RAT,5.65,8,5,5,Carbamidomethylation,1.3E7,2.28E6,1.70:0.30,1.3E7,2.28E6,1.70:0.30,101428,Protein Prrt3 OS=Rattus norvegicus GN=Prrt3 PE=1 SV=2
483,20914,Q562A2|ZFR_RAT,5.63,8,7,7,Carbamidomethylation,1.17E7,2.01E6,1.71:0.29,1.17E7,2.01E6,1.71:0.29,116818,Zinc finger RNA-binding protein OS=Rattus norvegicus GN=Zfr PE=1 SV=2
