Input,Input Type,MGI Gene/Marker ID,Symbol,Name,Feature Type,GO ID,Term,Code
Scyl2,current symbol,MGI:1289172,Scyl2,SCY1-like 2 (S. cerevisiae),protein coding gene,GO:0005524,ATP binding,IEA
Scyl2,current symbol,MGI:1289172,Scyl2,SCY1-like 2 (S. cerevisiae),protein coding gene,GO:0007420,brain development,IDA
Scyl2,current symbol,MGI:1289172,Scyl2,SCY1-like 2 (S. cerevisiae),protein coding gene,GO:0031410,cytoplasmic vesicle,IEA
Scyl2,current symbol,MGI:1289172,Scyl2,SCY1-like 2 (S. cerevisiae),protein coding gene,GO:0005768,endosome,IEA
Scyl2,current symbol,MGI:1289172,Scyl2,SCY1-like 2 (S. cerevisiae),protein coding gene,GO:0008333,endosome to lysosome transport,ISO
Scyl2,current symbol,MGI:1289172,Scyl2,SCY1-like 2 (S. cerevisiae),protein coding gene,GO:0005794,Golgi apparatus,IEA
Scyl2,current symbol,MGI:1289172,Scyl2,SCY1-like 2 (S. cerevisiae),protein coding gene,GO:0016020,membrane,IEA
Scyl2,current symbol,MGI:1289172,Scyl2,SCY1-like 2 (S. cerevisiae),protein coding gene,GO:0090090,negative regulation of canonical Wnt signaling pathway,ISO
Scyl2,current symbol,MGI:1289172,Scyl2,SCY1-like 2 (S. cerevisiae),protein coding gene,GO:2000370,positive regulation of clathrin-dependent endocytosis,ISO
Scyl2,current symbol,MGI:1289172,Scyl2,SCY1-like 2 (S. cerevisiae),protein coding gene,GO:0002092,positive regulation of receptor internalization,ISO
Scyl2,current symbol,MGI:1289172,Scyl2,SCY1-like 2 (S. cerevisiae),protein coding gene,GO:0005515,protein binding,IPI
Scyl2,current symbol,MGI:1289172,Scyl2,SCY1-like 2 (S. cerevisiae),protein coding gene,GO:0004672,protein kinase activity,IEA
Scyl2,current symbol,MGI:1289172,Scyl2,SCY1-like 2 (S. cerevisiae),protein coding gene,GO:0006468,protein phosphorylation,IEA
