Protein,Symbol,UniProtID,Log(AveExpr),P.Value,adj.P.Val,logFC,Peptide#,GO_CellCompID,GO_CellComp
A0A0G2JVC2_RAT,Scyl2,A0A0G2JVC2,23.2376,1.0523E-05,0.0083,4.4615,,GO:0005794,Golgi
MYPT1_RAT,Ppp1r12a,Q10728,21.0038,3.7242E-05,0.0146,3.7930,,GO:0005856,cytoskeleton
CARM1_RAT,Carm1,Q4AE70,21.5798,0.0002,0.0431,4.7005,,GO:0005737,Cytosol
D3ZU13_RAT,Eif4g1,D3ZU13,20.4759,0.0003,0.0566,3.2206,,GO:0005737,Cytosol
PTN23_RAT,Ptpn23,O88902,21.7985,0.0005,0.0846,3.3595,,GO:0005769,Endosome
LRRT1_RAT,Lrrtm1,D4A6D8,20.8346,0.0008,0.0957,2.3174,,GO:0005783,endoplasmic reticulum
A0A0G2JVZ6_RAT,Itgav,A0A0G2JVZ6,24.0425,0.0009,0.0957,3.3861,,GO:0005829,Cytosol
KC1D_RAT,Csnk1d,Q06486,21.0245,0.0014,0.0966,2.1563,,GO:0005794,Golgi
D4A732_RAT,Mvb12b,D4A732,20.2361,0.0016,0.0966,2.1760,,GO:0005769,Endosome
D4A1P2_RAT,Rpl10l,D4A1P2,20.2399,0.0019,0.0966,2.1163,,GO:0005783,endoplasmic reticulum
ARF3_RAT,Arf3,P61206,20.4300,0.0020,0.0966,2.1010,,GO:0005794,Golgi
CSK21_RAT,Csnk2a1,P19139,20.1321,0.0022,0.0966,2.0467,,GO:0005737,Cytosol
A0A0G2JYI7_RAT,Ubap2,A0A0G2JYI7,20.6937,0.0022,0.0966,2.1004,,GO:0005737,Cytosol
B2GV74_RAT,Klc2,B2GV74,20.0086,0.0023,0.0966,2.1909,,GO:0005764,Lysosome
PLAK_RAT,Jup,Q6P0K8,20.1174,0.0024,0.0966,2.0631,,GO:0005856,cytoskeleton
MAP6_RAT,Map6,Q63560,22.9885,0.0024,0.0966,2.1628,,GO:0005794,Golgi
A0A0G2JYE0_RAT,Atxn2l,A0A0G2JYE0,21.4702,0.0025,0.0966,2.0079,,GO:0005737,Cytosol
ERC2_RAT,Erc2,Q8K3M6,22.5354,0.0028,0.0966,2.1656,,GO:0005798,Golgi
TENR_RAT,Tnr,Q05546,20.1606,0.0029,0.0966,2.0277,,GO:0045121,membrane
D3ZT47_RAT,Fam171a2,D3ZT47,25.2553,0.0029,0.0966,3.6193,,GO:0016020,membrane
B5DFC3_RAT,Sec23a,B5DFC3,24.3615,0.0029,0.0966,2.4116,,GO:0000139,Golgi
D3ZC55_RAT,Hspa12a,D3ZC55,19.8028,0.0031,0.0966,2.1303,,GO:0005737,Cytosol
D3ZW15_RAT,Sec24b,D3ZW15,24.2330,0.0031,0.0966,1.9468,,GO:0005829,Cytosol
APC_RAT,Apc,P70478,20.7237,0.0032,0.0966,1.9786,,GO:0005794,Golgi
GPAT1_RAT,Gpam,P97564,20.5472,0.0032,0.0966,1.9130,,GO:0032869,Mitochondrion
